county_code,district_code,school_code,v,CDSCode,Longitude,Latitude
01,61176,6000848,-0.30871824410981064,01611766000848,-121.92534,37.482877
01,61176,6056873,-0.7526229237286177,01611766056873,-122.0019,37.555648
01,61176,6056881,-0.6380648141536598,01611766056881,-121.98586,37.5373
01,61176,6056907,-0.7124142355771854,01611766056907,-121.96295,37.528537
01,61176,6056915,-0.5804022020291111,01611766056915,-122.01454,37.557124
01,61176,6056923,-0.5204075183666039,01611766056923,-121.94242,37.54702
01,61176,6089320,-0.5755154759801184,01611766089320,-122.01399,37.568768
01,61176,6089619,-0.4088428986935002,01611766089619,-122.03048,37.57651
01,61176,6090526,-0.8854956711465234,01611766090526,-121.93996,37.542168
01,61176,6090542,-0.48579206763942684,01611766090542,-122.01771,37.560394
01,61176,6090559,-0.29579376119499634,01611766090559,-121.97397,37.520062
01,61176,6104723,-0.3701043167396122,01611766104723,-122.05205,37.572796
01,61176,6106983,-0.7339671969814814,01611766106983,-121.92838,37.507308
01,61176,6111330,-0.5595473039808565,01611766111330,-122.05188,37.561214
01,61192,0111815,-0.8789920231975659,01611920111815,-122.02047,37.654731
01,61192,0113902,-0.4319922558068059,01611920113902,-122.10254,37.631317
01,61192,0119248,-0.758111389279588,01611920119248,-122.06973,37.687804
01,61192,0127696,0.366915665696529,01611920127696,-122.07213,37.67694
01,61192,0133629,-0.6183720667047238,01611920133629,-122.06992,37.672677
01,61192,0135319,-0.7283085802558782,01611920135319,-122.09056,37.625313
01,61192,0138339,-0.09612597111012922,01611920138339,-122.06596,37.642546
01,61192,6000921,-0.3611921508406365,01611926000921,-122.0543,37.67083
01,61192,6000962,-0.7481917003397451,01611926000962,-122.05205,37.680799
01,61192,6001176,-0.531892886843246,01611926001176,-122.09444,37.639048
01,61192,6001192,-0.3377323477186323,01611926001192,-122.03657,37.624163
01,61192,6056931,-0.591900755775866,01611926056931,-122.07899,37.670265
01,61192,6056956,-0.47590774678384223,01611926056956,-122.10968,37.638836
01,61192,6056972,0.5036195445013227,01611926056972,-122.09095,37.660347
01,61192,6062160,-0.5583664018238895,01611926062160,-122.08746,37.687487
01,61192,6066476,-0.24306711619818144,01611926066476,-122.09254,37.634611
01,61192,6090583,-0.648777336506325,01611926090583,-122.10721,37.638076
